,,,,,,,,,,,,,
First,Last,Team,Pos,Opponent,Spread,OverUnder,Rec,RecYards,RecTD,RushAtt,RushYards,RushTD,FantasyPts
Robert,Woods,BUF,WR,IND,,46.5,2,22,0,0,0,0,2.2
Dorial,Green-Beckham,TEN,WR,TB,,42,2,22,0,0,0,0,2.2
Devin,Smith,NYJ,WR,CLE,-3,40.5,2,22,0,0,0,0,2.2
Nate,Washington,HOU,WR,KC,-1.5,41,2,22,0,0,0,0,2.2
Andre,Caldwell,DEN,WR,BAL,-4,51,2,21,0,0,0,0,2.1
Marvin,Jones,CIN,WR,OAK,-3.5,44,2,21,0,0,0,0,2.1
Devin,Funchess,CAR,WR,JAX,-3,41,1,19,0,0,0,0,1.9
Kevin,White,CHI,WR,GB,,50,0,0,0,0,0,0,0
Justin,Hardy,ATL,WR,PHI,,53.5,0,0,0,0,0,0,0
Aaron,Dobson,NE,WR,PIT,-3,48.5,0,0,0,0,0,0,0
Quinton,Patton,SF,WR,MIN,,41.5,0,0,0,0,0,0,0
Kenbrell,Thompkins,OAK,WR,CIN,,44,0,0,0,0,0,0,0
Kelvin,Benjamin,CAR,WR,JAX,-3,41,0,0,0,0,0,0,0
Ricardo,Lockette,SEA,WR,STL,-3.5,43,0,0,0,0,0,0,0
Andre,Holmes,OAK,WR,CIN,,44,0,0,0,0,0,0,0
Miles,Austin,PHI,WR,ATL,-1,53.5,0,0,0,0,0,0,0
Louis,Murphy,TB,WR,TEN,-3,42,0,0,0,0,0,0,0
Brandon,Tate,CIN,WR,OAK,-3.5,44,0,0,0,0,0,0,0
Brandon,Gibson,NE,WR,PIT,-3,48.5,0,0,0,0,0,0,0
